#P,kernel_dim,iter1,iter2,iter3
1,11,2.70836,2.83271,2.70359
2,11,2.75175,2.75493,2.75457
3,11,2.79105,2.78693,2.78612
4,11,2.82196,2.82697,2.8265
5,11,2.91286,2.91258,2.8563
6,11,2.95349,2.89242,2.92768
7,11,3.02421,2.94916,2.99376
8,11,2.96935,2.97406,3.12455
9,11,3.02406,3.02046,3.02157
10,11,3.03806,3.07185,3.0564
11,11,3.07879,3.08221,3.07743
12,11,3.1096,3.13965,3.17825
13,11,3.12943,3.28645,3.27935
14,11,3.14574,3.32812,3.17389
15,11,3.21822,3.42147,3.61644
16,11,3.45914,3.23973,3.71228
17,11,3.62102,3.25023,3.59026
18,11,4.72138,3.47689,3.94936
19,11,5.62627,4.10017,4.08865
20,11,3.88941,3.85876,4.10263
21,11,5.43857,4.21931,6.07442
22,11,7.45814,5.18655,4.59955
23,11,8.02506,5.36865,4.29782
24,11,7.45573,3.61658,4.89428
1,101,242.187,241.576,241.569
2,101,242.044,242.038,242.034
3,101,241.798,242.043,241.934
4,101,241.979,242.155,242.176
5,101,241.989,242.25,242.018
6,101,242.06,242.125,242.032
7,101,242.135,242.286,242.143
8,101,242.116,242.198,242.416
9,101,242.371,242.299,242.345
10,101,242.398,242.499,242.548
11,101,242.64,242.424,242.31
12,101,242.681,242.408,242.293
13,101,242.521,242.405,242.401
14,101,242.652,242.54,242.563
15,101,242.969,242.683,242.58
16,101,242.414,242.594,242.655
17,101,247.384,242.748,242.536
18,101,243.145,244.14,243.918
19,101,244.015,243.812,243.815
20,101,244.171,244.187,243.726
21,101,245.032,244.065,243.832
22,101,246.685,244.022,243.888
23,101,244.289,242.843,242.611
24,101,249.028,244.513,243.658
